doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,1,Wilcoxon signed-rank test,7,< .05,,,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,1,Wilcoxon signed-rank test,7,< .05,PathFinder vs Topline System (R1),,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,1,Wilcoxon signed-rank test,7,< .05,PathFinder vs Topline System (R2),,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,2,Descriptive Statistics,7,UNKNOWN,,1,"Mean Normalized Task Completion Time (PathFinder, Route 1)",317.36,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,2,Descriptive Statistics,7,UNKNOWN,,2,"Mean Normalized Task Completion Time (Topline, Route 1)",63.16,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,2,Descriptive Statistics,7,UNKNOWN,,3,"Mean Normalized Task Completion Time (PathFinder, Route 2)",607.88,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,2,Descriptive Statistics,7,UNKNOWN,,4,"Mean Normalized Task Completion Time (Topline, Route 2)",239.69,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,3,Wilcoxon signed-rank test,7,< .05,,,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,3,Wilcoxon signed-rank test,7,< .05,PathFinder vs Regular Aids (Confidence Scores),,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,3,Wilcoxon signed-rank test,7,< .05,PathFinder vs Topline System (Confidence Scores),,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,3,Wilcoxon signed-rank test,7,< .05,PathFinder vs Regular Aids (Cognitive Load),,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,3,Wilcoxon signed-rank test,7,< .05,PathFinder vs Topline System (Cognitive Load),,,,,,
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,4,Descriptive Statistics,7,UNKNOWN,,1,Median Usability Score (Q4),6,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,4,Descriptive Statistics,7,UNKNOWN,,2,Median Usability Score (Q5),7,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,4,Descriptive Statistics,7,UNKNOWN,,3,Median Usability Score (Q6),6,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,4,Descriptive Statistics,7,UNKNOWN,,4,Median Usability Score (Q7),6,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,4,Descriptive Statistics,7,UNKNOWN,,5,Median Usability Score (Q8),7,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,5,Descriptive Statistics,7,UNKNOWN,,1,Controllability Preference,2 participants preferred PathFinder over Topline System,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,6,Descriptive Statistics,7,UNKNOWN,,1,False Positive Intersection Detections,33,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,6,Descriptive Statistics,7,UNKNOWN,,2,Correct Intersection Detections,61,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,6,Descriptive Statistics,7,UNKNOWN,,3,Partially Correct Intersection Detections,9,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,6,Descriptive Statistics,7,UNKNOWN,,4,Failed Intersection Detections,5,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3544548.3580687,accessibility systems and tools;accessibility;human-centered computing;social and professional topics,7,Descriptive Statistics,7,UNKNOWN,,1,Battery Life,2.6 hours,UNKNOWN,UNKNOWN,UNKNOWN
