doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,1,Regression Analysis (Model 1),341,<0.0001,,1,R2,0.23,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,1,Regression Analysis (Model 1),341,<0.0001,,2,Pearson's r,0.43,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,1,Regression Analysis (Model 1),341,<0.0001,,3,SMAPE,3.67,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,2,Regression Analysis (Model 2),341,<0.0001,,1,R2,0.28,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,2,Regression Analysis (Model 2),341,<0.0001,,2,Pearson's r,0.45,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,2,Regression Analysis (Model 2),341,<0.0001,,3,SMAPE,3.65,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,3,Regression Analysis (Model 1),341,<0.0001,,1,R2,0.15,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,3,Regression Analysis (Model 1),341,<0.0001,,2,Pearson's r,0.32,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,3,Regression Analysis (Model 1),341,<0.0001,,3,SMAPE,6.96,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,4,Regression Analysis (Model 2),341,<0.0001,,1,R2,0.24,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,4,Regression Analysis (Model 2),341,<0.0001,,2,Pearson's r,0.41,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,4,Regression Analysis (Model 2),341,<0.0001,,3,SMAPE,6.71,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,1,Coefficient (Freq. of Conflict Situations),0.59,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,2,Coefficient (Service Orientation),6.31,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,3,Coefficient (Recognition),24.10,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,4,Coefficient (Independence),-9.93,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,5,Coefficient (Responsibility for outcomes),0.89,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,6,Coefficient (Working Conditions),-8.58,UNKNOWN,UNKNOWN,UNKNOWN
