doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,N_found,test_p_value_found,effectsize_measure_found,effectsize_value_found,CI_upper_found,CI_lower_found,CI_type_found
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,1,Between-subject one-way ANOVA (Learning Time),16,0.366,,1.0,F,0.872,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,2,Between-subject one-way ANOVA (Learning Time),16,0.325,,1.0,F,1.039,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,3,Within-subject one-way ANOVA (Learning Time),16,0.007,,1.0,F,10.081,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,4,Within-subject one-way ANOVA (Learning Time),16,0.008,,1.0,F,9.670,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,5,Teacher's Score (Reading Reduced Notation),16,0.769,,1.0,F,0.090,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,6,Teacher's Score (Using MRGuqin),16,0.959,,1.0,F,0.706,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,7,Teacher's Score (Group A),16,0.071,,1.0,F,3.805,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,8,Teacher's Score (Group B),16,0.112,,1.0,F,2.880,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,9,System's Score (Reading Reduced Notation),16,0.568,,1.0,F,0.342,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,10,System's Score (Using MRGuqin),16,0.523,,1.0,F,0.052,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,11,System's Score (Group A),16,0.007,,1.0,F,9.755,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445175,human computer interaction (hci);human-centered computing,12,System's Score (Group B),16,0.235,,1.0,F,1.537,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,1,Kruskal-Wallis test,53,0.01,,1.0,Chi-squared,8.60,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,1,Kruskal-Wallis test,53,0.93,social ability,1.0,Chi-squared,0.16,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,1,Kruskal-Wallis test,53,0.14,funniness,1.0,Chi-squared,3.97,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,1,Kruskal-Wallis test,53,0.01,sense of humour,1.0,Chi-squared,8.60,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,2,One-way ANOVA,53,0.03,,1.0,F,3.74,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,2,One-way ANOVA,53,0.03,Perceived Intelligence,1.0,F,3.74,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,3,One-way ANOVA,53,0.44,,1.0,F,0.83,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
