Paper;Ground Truth
2019/3300387.html;F
2019/3300596.html;F
2019/3300427.html;F
2019/3300750.html;T
2019/3300762.html;T
2019/3300853.html;F
2019/3300866.html;T
2019/3300341.html;T
2019/3300677.html;T
2019/3300359.html;F
2019/3300309.html;F
2019/3300815.html;T
2019/3300589.html;F
2019/3300705.html;F
2019/3300451.html;F
2019/3300310.html;T
2019/3300263.html;F
2019/3300375.html;F
2019/3300347.html;F
2019/3300793.html;T
2019/3300542.html;F
2019/3300505.html;T
2019/3300753.html;T
2019/3300439.html;F
2019/3300702.html;F
2019/3300574.html;T
2019/3300238.html;F
2019/3300598.html;T
2019/3300538.html;F
;
;
;
2019/3300927.html;T
