Paper;Ground Truth
2022/3517653.html;T
2022/3502059.html;F
2022/3502054.html;F
2022/3501917.html;T
2022/3517672.html;F
2022/3501851.html;F
2022/3517732.html;T
2022/3502008.html;F
2022/3501894.html;T
2022/3501881.html;F
2022/3501982.html;F
2022/3517604.html;T
2022/3517557.html;F
2022/3517640.html;F
2022/3517649.html;T
2022/3517525.html;T
2022/3517686.html;T
2022/3517636.html;F
2022/3501967.html;T
2022/3502119.html;F
2022/3517456.html;T
2022/3501902.html;F
2022/3517451.html;T
2022/3501819.html;F
2022/3517683.html;F
2022/3517591.html;T
2022/3502099.html;F
2022/3502007.html;F
2022/3517441.html;F
