Paper;Ground Truth
2021/3445720.html;F
2021/3445409.html;F
2021/3445486.html;T
2021/3445470.html;F
2021/3445229.html;F
2021/3445569.html;T
2021/3445099.html;T
2021/3445314.html;F
2021/3445258.html;T
2021/3445453.html;F
2021/3445181.html;F
2021/3445329.html;F
2021/3445213.html;T
2021/3445644.html;T
2021/3445578.html;T
2021/3445662.html;F
2021/3445420.html;F
2021/3445760.html;T
2021/3445668.html;T
2021/3445295.html;T
2021/3445108.html;F
2021/3445497.html;T
2021/3445672.html;T
2021/3445167.html;F
2021/3445228.html;T
2021/3445375.html;F
2021/3445481.html;F
2021/3445278.html;T
2021/3445768.html;F
